"Meslek","Şehir","Nitelikler"
"Kıdemli Sayısal Tasarım Mühendisi","Ankara","Bilgisayar Mühendisliği veya Elektronik Haberleşme Mühendisliği bölümlerinden mezun, İyi derecede İngilizce bilen, Ekip yönetimi konusunda deneyimli ve takım çalışmasına uygun, FPGA’ler ile çalışma konusunda yüksek motivasyona sahip, Verilog tanımlama dillerinde tecrübeli olmak ya da en az 4-5 sene VHDL deneyimli, FPGA tasarım araçları konusunda tecrübeli"
"Grafiker","Gaziantep(Şehitkamil)","Reklam Tasarımı, Güzel Sanatlar Fakültesi, Görsel iletişim Tasarımı ve Bilgisayar mühendisliği bölümlerinden mezun,  Adobe Photoshop, Illustrator programlarını iyi derecede bilen, InDesign, Premiere programlarında bilgi sahibi, Adobe After Effects ile gif ve video yapımı konusunda profesyonel derecede bilgisi ve tecrübesi bulunan, Daha önce ajans deneyimi olan, Minimum 3 yıl deneyimli, Portfolyo sunabilecek, Türkçe’yi dilbilgisi kurallarına dikkat ederek kullanabilen ve sosyal medya diline hakim, Trendleri takip eden, keşfetmeyi seven, yaratıcı fikir ve kampanya yönetimi konularında başarılı, içerik oluşturacağı sektörü etkileyeceğine güvenen, Sorumluluk sahibi, takım çalışmasına yatkın, iletişim becerileri yüksek, detaylara önem veren, disiplinli, yaratıcılık yönü kuvvetli, Yaratıcı fikir ve kampanya yönetimi konularına başarılı, Gelen revizeleri hızlıca çözebilen, zamanını yönetebilen, çalışmayı seven, çözüm odaklı, tasarım ve uygulama konusunda hızlı, süreç odaklı, Erkek adaylar için askerlik hizmetini tamamlamış, Tercihen sigara kulanmayan.."
"Yazılım Geliştirme Uzmanı","Sakarya(Serdivan)","TANIMI  Advancity (CAZ Bilişim A.Ş.) olarak, Sakarya Üniversitesi Teknokent’inde Sapanca Gölü manzaralı ofisimizde çalışacak yazılım geliştirme uzmanları arıyoruz.     Bu ürünleri geliştirirken aşağıdaki teknolojileri kullanıyoruz:  – Programlama ve betik dilleri olarak;  C#, SQL, T-SQL, Javascript, Typescript, HTML, CSS  – Uygulama geliştirme platformu ve genel kütüphaneler olarak;  .Net Framework, .Net Core, React  – Bulut altyapısı olarak;  Docker, Azure  – Sürüm kontrol ve dağıtım için:  GitLab, Github     Yeni takım arkadaşında aşağıdaki özellikleri bekliyoruz:  – Yukarıda saydığımız teknolojilere aşina,  – Problem çözmeyi seven,  – En az 2 sene yazılım geliştirme tecrübesi olan,  – Yoğun iş temposuna ayak uydurabilecek,  – Tercihen üniversitelerin bilgisayar mühendisliği, bilgisayar programlama ya da ilgili mühendislik bölümlerinden mezun olmuş     Advancity Hakkında Kısa Bilgiler:  Advancity, 1.500.000+ kullanıcı ve 70+ üniversite, 100+ kurumun kullandığı uzaktan eğitim yazılımlarını (ALMS, Perculus) geliştiren Türkiye’nin akademik alanda öncü yazılım firmasıdır."
"Kıdemli .Net Yazılım Geliştirme Uzmanı","İstanbul(Avr.),","Bilgisayar Programcılığı, Matematik vb. bölümlerinden mezun,  Literatürü takip edebilecek seviyede İngilizce bilgisi olan, Çözüm odaklı, hızlı çözümler üretebilen, Araştırmacı, öğrenmeye açık, Analitik düşünme yetisine sahip, Askerlik hizmetini tamamlamış ya da en az 2 yıl tecilli"
"Kıdemli .Net Yazılım Geliştirme Uzmanı (Dönemsel)","Şanlıurfa","Bilgisayar Programcılığı, Matematik vb. bölümlerinden mezun,  Literatürü takip edebilecek seviyede İngilizce bilgisi olan, Çözüm odaklı, hızlı çözümler üretebilen, Araştırmacı, öğrenmeye açık, Analitik düşünme yetisine sahip, Askerlik hizmetini tamamlamış ya da en az 2 yıl tecilli Şanlıurfa' da yıl sonuna kadar (dönemsel) çalışmayı kabul eden,"
"Stratejik Planlama ve İş Geliştirme Uzmanı","İstanbul(Avr.)","TANIMI Üniversitelerin ilgili bölümlerinden mezun,tercihen Bilgisayar mühendisliği, İşletme mühendisliği, Endüstri mühendisliği,Matematik Mühendisliği,İstatistik   İleri seviyede İngilizce bilgisine sahip    İletişim becerileri güçlü,   En az 3 yıl  Süreç Yönetimi / Proje yönetimi konularında deneyimi olan,   MS Programları ile raporlama, analiz ve sunum konusunda deneyimli   Takım çalışmasına yatkın   Erkek adaylar için askerlik hizmetini tamamlamış,   Seyahat engeli olmayan   Tercihen perakende sektöründe deneyimi olan.  İş Tanımı  Kurumsal amaçlar doğrultusunda dijital dönüşüm projelerinin analizi ve yürütülmesi Şirketin stratejik hedefleri doğrultusunda yeni öneriler geliştirilmesi İş birimleri tarafından uygulanan süreçlerin verimliliğinin analizi, kritik süreçlerin tespiti ve aksiyon planına çevrilmesi İş planına alınan projelerin ilgili iş birimiyle koordine olarak uygulanması Proje içerisinde kullanılacak doğru teknolojilerin seçilmesi ve dokümantasyonunun oluşturulması Uygulama ve süreçlerin genel tasarım yapısının oluşturulması"
"Yazılım Mühendisi","İstanbul(Avr.),","tecrübeli  Yazılım konusunda kendine güvenen, Yazılım işinden  zevk duyan, Ekip çalışmasına yatkın, Öğrenmeye ve kaliteli iş yapmaya hevesli, Analitik düşünebilen, Araştırma/geliştirme odaklı çalışan, Sıkışık zaman planlarında iş yapabilecek, Araştırmacı ve yeni  teknolojileri  öğrenmeye hevesli, Kendini geliştirmeye açık, yeni teknolojilere kolayca adapte olabilen, Dinamik çalışma temposuna ayak uydurabilen, Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya Elektrik-Elektronik Mühendisliği bölümlerinden mezun, Üniversite eğitiminde ve kariyer hayatında başarılı Yazılım Geliştirme pozisyonu için BT  ve / veya bankacılık yazılım sektöründe 3-20 yıl aralığında bankacılık/finans sektöründe yazılım geliştirme tecrübesi (Cari İşlemler, Yatırım,Mevduatlar, Çek/Senet, Haciz/Bloke konularında tecrübe tercih sebebidir) , Veya Bilgisayar Mühendisliğinde yukarıdaki okullardan okumuş başarılı yeni mezun, Erkek adaylar için askerlik görevini tamamlamış,"
"Yazılım Mühendisi","İstanbul(Asya)","Mühendisliği bölümlerinden mezun, Yazılım geliştirmede en az 2 yıl deneyimli, İyi derecede yazılı ve sözlü İngilizce bilgisi, İstanbul Anadolu Yakasında ikamet eden veya edebilecek, Askerlik görevini tamamlamış."
"İş Geliştirme Sorumlusu","İstanbul(Avr.)(Eyüp)","Programcılığı bölümlerinden mezun, Tercihen Hastane Bilgi Yönetim Sistemleri yönetimi konusunda en az 5 yıllık mesleki deneyime sahip, İleri düzeyde MS Office (Word, Excel, Visio, Powerpoint,v.b) uygulamalarını kullanabilen, SQL sorgulama komutlarına hakim, Analitik düşünme ve problem çözme yetkinliğine sahip, araştırmacı ve yenilikçi, Yazılım süreç analizi, yazılım gereksinimi belirleme, dokümantasyon, test senaryoları geliştirme, test ve kabul faaliyetlerini gerçekleştirme ve koordine etme konularında deneyim sahibi, Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren, Takım çalışmalarında etkin, iletişim gücü yüksek, sorumluluk sahibi, Seyahat engeli olmayan, Erkek adaylar için askerlik yükümlülüğünü tamamlamış veya en az 2 yıl tecil ettirmiş."
"Analist","İstanbul(Asya)","Matematik & Matematik Mühendisliği, İşletme bölümlerinden mezun, Bilgi Sistemleri ve Finans sektörüne ilgi duyan, Tercihen SQL Server veri tabanı ve T-SQL konularında bilgi sahibi, İş analiz süreç ve kavramlarına hakim (İhtiyaç Analizi, Sistem Analizi,Use Case vb), “Agile” programlama pratiklerini bilen ve uygulayabilecek, İş modelleme, kapsam belirleme,  diagram oluşturma, test caseleri yazabilme, uygulama becerisi yüksek."
